None privuse marketcap tickerKey:2817	 month:139002	 closeAdjust:432.35107999999997	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138410	 closeAdjust:251.0046075274009	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138501	 closeAdjust:201.125486800802	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138709	 closeAdjust:113.63590004245313	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138803	 closeAdjust:118.26178623887158	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138904	 closeAdjust:140.184464300159	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:138911	 closeAdjust:160.66125456167603	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2823	 month:139008	 closeAdjust:165.84387567656879	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2903	 month:138803	 closeAdjust:1146.649449	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2903	 month:138808	 closeAdjust:808.3754250000001	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2903	 month:138811	 closeAdjust:801.742601	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2935	 month:138412	 closeAdjust:1462.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2935	 month:138803	 closeAdjust:2735.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2935	 month:138812	 closeAdjust:5304.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

***	No market cap while having closed adjust for TickerKey:2956 Month:138509
None privuse marketcap tickerKey:2956	 month:138601	 closeAdjust:99.7923255363781	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2956	 month:138604	 closeAdjust:74.31214003988669	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2956	 month:138607	 closeAdjust:107.79963331946314	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2956	 month:138704	 closeAdjust:41.63988163125278	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2956	 month:138904	 closeAdjust:207.007905519225	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138707	 closeAdjust:1023.6034644823409	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138709	 closeAdjust:1058.2180743923718	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138712	 closeAdjust:1055.2511078286548	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138802	 closeAdjust:1056.2400966832272	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138903	 closeAdjust:1269.861689270846	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:138912	 closeAdjust:1376.6724855646555	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:2969	 month:139004	 closeAdjust:1376.6724855646555	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138003	 closeAdjust:1899.9688561952705	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138012	 closeAdjust:2802.7241262217267	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138105	 closeAdjust:3229.219476227371	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138205	 closeAdjust:4438.050960845735	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138402	 closeAdjust:4445.307618531021	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138406	 closeAdjust:4562.975929179163	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3055	 month:138409	 closeAdjust:4643.38367119765	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

***	No market cap while having closed adjust for TickerKey:3091 Month:138406
None privuse marketcap tickerKey:3091	 month:138712	 closeAdjust:976.0532862779652	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3091	 month:138808	 closeAdjust:1177.7965836385683	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:3091	 month:138912	 closeAdjust:851.1645783880681	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:76527	 month:138412	 closeAdjust:1462.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:76527	 month:138803	 closeAdjust:2735.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:76527	 month:138812	 closeAdjust:5304.0	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:90926	 month:138303	 closeAdjust:107.9498903550658	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

None privuse marketcap tickerKey:90926	 month:138306	 closeAdjust:106.68116796796006	 currentYield:None	 numberOfOutstandingShares:None	 marketcap:None	 b2m:None	 rollingAverage:None	 momentum:None	 size:None

